sub,trial,coh,dir,resp,rt,trialType,prob
0,591,0.05,1,1,1.35547092789784,0,0.75
0,592,1,1,0,0,1,0.75
0,593,1,2,0,0,1,0.75
0,594,0.05,2,2,0.518916420114692,0,0.75
0,595,1,1,0,0,1,0.75
0,596,0.15,1,1,5.59144561795983,0,0.75
0,597,1,1,0,0,1,0.75
0,598,1,1,0,0,1,0.75
0,599,0,2,1,1.12013655906776,0,0.75
0,600,1,1,0,0,1,0.75
0,601,0.1,1,1,0.360346800007392,0,0.75
0,602,1,1,0,0,1,0.75
0,603,0.1,1,2,3.47882256621961,0,0.75
0,604,1,2,0,0,1,0.75
0,605,1,1,0,0,1,0.75
0,606,1,1,0,0,1,0.75
0,607,1,1,0,0,1,0.75
0,608,0.05,1,2,0.34428776463028,0,0.75
0,609,1,1,0,0,1,0.75
0,610,1,1,0,0,1,0.75
0,611,1,1,0,0,1,0.75
0,612,1,2,0,0,1,0.75
0,613,1,1,0,0,1,0.75
0,614,0,2,2,0.394610716204625,0,0.75
0,615,1,2,0,0,1,0.75
0,616,1,1,0,0,1,0.75
0,617,1,1,0,0,1,0.75
0,618,1,1,0,0,1,0.75
0,619,1,1,0,0,1,0.75
0,620,1,1,0,0,1,0.75
0,621,0.15,2,1,0.711310136772227,0,0.75
0,622,1,1,0,0,1,0.75
0,623,1,1,0,0,1,0.75
0,624,1,1,0,0,1,0.75
0,625,0.1,1,2,0.381506268808153,0,0.75
0,626,1,1,0,0,1,0.75
0,627,0,2,1,0.456203126814216,0,0.75
0,628,1,1,0,0,1,0.75
0,629,1,2,0,0,1,0.75
0,630,1,1,0,0,1,0.75
0,631,1,2,0,0,1,0.75
0,632,0.05,2,2,0.610034499084577,0,0.75
0,633,1,2,0,0,1,0.75
0,634,1,1,0,0,1,0.75
0,635,1,1,0,0,1,0.75
0,636,1,1,0,0,1,0.75
0,637,0.15,1,1,0.405556485871784,0,0.75
0,638,1,2,0,0,1,0.75
0,639,1,1,0,0,1,0.75
0,640,0.05,2,2,0.300776726158801,0,0.75
0,641,1,1,0,0,1,0.75
0,642,1,2,0,0,1,0.75
0,643,1,1,0,0,1,0.75
0,644,0.05,1,2,0.403084063669667,0,0.75
0,645,1,1,0,0,1,0.75
0,646,1,2,0,0,1,0.75
0,647,1,1,0,0,1,0.75
0,648,1,1,0,0,1,0.75
0,649,1,1,0,0,1,0.75
0,650,0.15,2,2,0.330414996133186,0,0.75
0,651,1,1,0,0,1,0.75
0,652,1,2,0,0,1,0.75
0,653,0.15,2,1,0.794640743290074,0,0.75
0,654,1,1,0,0,1,0.75
0,655,0.05,1,2,0.290179347619414,0,0.75
0,656,1,1,0,0,1,0.75
0,657,1,1,0,0,1,0.75
0,658,1,1,0,0,1,0.75
0,659,1,1,0,0,1,0.75
0,660,0,2,2,0.50643047929043,0,0.75
0,661,1,1,0,0,1,0.75
0,662,1,2,0,0,1,0.75
0,663,1,1,0,0,1,0.75
0,664,0.15,2,1,0.848571756738238,0,0.75
0,665,1,1,0,0,1,0.75
0,666,1,1,0,0,1,0.75
0,667,0.05,1,1,0.428147694794461,0,0.75
0,668,1,1,0,0,1,0.75
0,669,1,1,0,0,1,0.75
0,670,1,2,0,0,1,0.75
0,671,1,1,0,0,1,0.75
0,672,0.05,2,1,0.408658321946859,0,0.75
0,673,1,2,0,0,1,0.75
0,674,1,1,0,0,1,0.75
0,675,1,1,0,0,1,0.75
0,676,1,1,0,0,1,0.75
0,677,0.1,2,2,0.436731718946248,0,0.75
0,678,1,1,0,0,1,0.75
0,679,1,2,0,0,1,0.75
0,680,0.05,1,1,0.443074298382271,0,0.75
0,681,1,1,0,0,1,0.75
0,682,0.05,1,2,0.439159549714532,0,0.75
